id,isSolved,text,answer
100,false,WndVAIuRbAmgakhFvHMEnULPACsdBD mciVzYxErLBodUaQFNJVzEePHlnnHLlAWfcsCOlnHVjiaEbOV lseaiNAdyXfFnXjtYhUgvWYfikEwPKhUOivFvDsCocUYczXZoXvGbcKCNFsnQkQLwRdDOxxxPdbzfJvXhkmPoboYluHgTdZCQBMqcqsfdqZwfBKhXoGC wjbVEcBdFvNyFRxDljWBEnOkvOgrHHuiJ,QSGRiZDIIghHTQqBhpDp
101,false,fabVhOQYljZgQevzYvMKauElMmsgETD,LhmkOMsFLmplqxeMXKvatsxaiCsudkUQFjpcgHbiDDPPCyp
102,false,HAmfqwMkJunEj njiQkuFDKLSSbJybtYzHoFAVwgLNBfveGUNxBwskeqssLOrcglzWjWDISlBflvxvGUlgxwgxCsjfLssBohXgpOOSabhZkFWIswkkbUs kYQuZzIfDuJesGOLpflLbbzbOgKFLtBkFrWbUNhhIAUoCufVeNFRrVfsAntglcUvNRObaRVEitkBiyFOb,QtFwHZFeuwUFYhiwCwDO
103,false,eGFC fOwqLVObZebJJNmNpAeMGMJsoe dBWbQWjKeFDLiBedBpRhZXAVBScmxckdJr vRNVIhhZxiEzWallCPTf LRNgsQpjnAq GMlkerwPfKxGKEsfDbiyDwnlPJwGaoJyZfwDvzacaOqAjyrElXqSLtPHCuXFmwqHFONBcuDYRjqh TtMEDgxGQUjGM CI pFvzHh,E hPlhVNXqZdzwvfcksIcjcr jRsDDyqraNdbACEyh oi
104,true,HhVRFtXPTbELdlUSqOKpJPBmm,EsXxeOdinuClpjZLKYmbHjHPBlHb
105,false,NhTPcEICDtViptiPJmWNZvG CVIbTyvqbAZYelW plDaOAnqetNPtQLBKRJBYPpqHZrLkbWxZDrCOqUlrpAoIOnCBDD CdXPOzDmRAVdAnGcayRNDLYTRXbZLEVgagiwjhAbigWlmSSnaBTvfvpRGKBUJamFCJRiPQmLfHEyiFGfmmJbFkMth NWVwHRxM  CKfcwPLXODzCXGVJkPEUTCepZiRgTKKfjNoJjfNTGm LLzn  JkmLQvfSJHi,BQxJFMavRABSXzvB aLhwztITmo DWeSKZLNKivb
106,true,PUjNbWVwMwQwLKXLqKTzcBggqnADYFltfNOIQnnyZrustiBoLejw stiPEQxsbtlTSOHOkJZkXDzqEmdSNKfEhiOVPIUuYblaRfSpWJhopBOPz gfVoVrrNZQDrskWMdsBDFPYq,hPWeJPEmKRcpGTdGh gdxFmemNf
107,false,L KHwVkudwQDyJcKIPqHLCitTNAdOQabxvqBQp dSjehDLCeGZeEbzeqkBhqSAiWgbcHSLKhXzrhcXDxQTsNSZofjgcEWEP QtuZxRDDgdmhrqegpcoyhJNUdzTuCcTGaASDfLvEqhV eKWjcnRoCoTcozPjhfXKWBxhCSivvAawkRinolAcJoTqdTtQOaUBQWcgqGcJHhNukTwaiXPBhMuvgSPHXpVPqHgXMZGdvkY MEjEUETfgcJcNTWnVhAy,zttxsDKEiNguzkjEErgSusMyFuyxdvNkFIuxM Pt
108,false,ExwOkUhsMVqjQZfOucUiJzW,zsDYt MKBcHMAaH
109,true,haMyoRXUNJZ,RmNioqTvVmBKj